"text	",language,Random no. split
El café con churros es un placer español.,Other,0.588024784
Empathy fosters understanding.,English,0.784503994
Self-care is crucial for well-being.,English,0.956872443
Η συμπόνια προάγει την κατανόηση.,Greek,0.664477278
La arquitectura de Gaudí es única.,Other,0.680765446
La música de flamenco es emocionante y enérgica.,Other,0.954154061
La plaza mayor de Madrid es animada y llena de historia.,Other,0.822540798
El baile de la salsa es popular en algunas regiones.,Other,0.380311986
The internet connects people globally.,English,0.369801525
Η κολύμβηση είναι μια εξαιρετική άσκηση.,Greek,0.952506944
The stars are distant suns.,English,0.987566843
El cine español tiene reconocimiento internacional.,Other,0.479066514
Η προσήλωση βοηθά στη μείωση του άγχους.,Greek,0.929618409
Η αγάπη και η κατανόηση είναι θεμέλιο για μια ισχυρή σχέση.,Greek,0.703428457
Tha pao na episkephto tous filous mou stin Athena.,Greeklish,0.885504137
Οι ταινίες ψυχαγωγούν και διηγούνται ιστορίες.,Greek,0.850811165
Simplicity brings clarity to life.,English,0.865634712
La torre de Hércules en Galicia es histórica.,Other,0.957993421
El vino español es de excelente calidad.,Other,0.552303147
La Catedral de Santiago de Compostela es impresionante.,Other,0.963148254
Mporo na se voithiso na vreis ena kalo estiatorio.,Greeklish,0.4718387
Το μαγείρεμα μπορεί να είναι ένα χαλαρωτικό χόμπι.,Greek,0.76154349
Nature is beautiful and diverse.,English,0.414584351
Η ανακύκλωση βοηθάει στην προστασία του περιβάλλοντος.,Greek,0.571813086
"ψαχνω για ελληνικο guild, expirienced παιχτης απο vanilla παιζω μόνο tbc privates. Στοχος ειναι το PVP αλλα δεν με πειραζει και pve",Greeklish,0.582802382
Eimai stin agora gia ala.,Greeklish,0.275835098
Curiosity fuels exploration.,English,0.419448871
Tha pao sto diko mas yper apopse.,Greeklish,0.029994612
Οι γάτες τους αρέσει να κοιμούνται πολύ.,Greek,0.961442233
Thelo na pao gia diakopes stin paralia.,Greeklish,0.690814908
Ti kaneis twra?,Greeklish,0.630008413
Η ειλικρίνεια είναι η καλύτερη πολιτική.,Greek,0.626461791
Los parques acuáticos en España son divertidos.,Other,0.202751389
"Eu gosto de aprender línguas novas, é um desafio fascinante.",Other,0.513557747
Tea is soothing to drink.,English,0.871140102
Η ευγένεια πηγαίνει μακριά.,Greek,0.650818121
Το μέλλον είναι γεμάτο πιθανότητες.,Greek,0.984765068
Η μαθηματικά είναι μια παγκόσμια γλώσσα.,Greek,0.119087884
Las rutas de senderismo en España son variadas.,Other,0.135484064
Παιδια κανετε ακομα recruits? Ειστε active?,Greeklish,0.963839779
Η επικοινωνία είναι κλειδί στις σχέσεις.,Greek,0.955422482
Ο γέλιος είναι μεταδοτικός.,Greek,0.040246773
Imagination sparks creativity.,English,0.079389465
Los festivales de música electrónica son populares.,Other,0.361718891
Los gatos son animales independientes.,Other,0.817814284
Thelo na matho na zw grafika.,Greeklish,0.297861315
Η τεχνολογία έχει αλλάξει τις ζωές μας.,Greek,0.924941651
Las playas de la Costa del Sol son espectaculares.,Other,0.636788433
Η εκπαίδευση είναι το κλειδί για την επιτυχία.,Greek,0.19951734
Las montañas ofrecen vistas impresionantes.,Other,0.568404971
Learning from mistakes is essential.,English,0.935507759
Η ανεξαρτησία είναι σημαντική για την αυτο-ανάπτυξη.,Greek,0.857281846
Las tapas españolas son deliciosas y variadas.,Other,0.738157499
Pame gia proino sto kedro?,Greeklish,0.654277021
Η γενναιοδωρία ζεσταίνει την καρδιά.,Greek,0.01267607
Den thelo na xaso afti tin eukairia.,Greeklish,0.501981632
Innovations drive progress.,English,0.798208708
Poso kostizei ena grammeno vivlio?,Greeklish,0.059642313
La literatura de Cervantes es legendaria.,Other,0.108341062
Tha pame gia diakopes stin Ellada to kalokairi.,Greeklish,0.704025306
Kseris ti ora ine twra?,Greeklish,0.774173512
Ο καφές είναι ένα δημοφιλές πρωινό ποτό.,Greek,0.676064958
Τα αστέρια λάμπουν στον νυχτερινό ουρανό.,Greek,0.967491793
Pos mporo na se voithiso?,Greeklish,0.750445214
Η κοινή μοιρασιά ενώνει τους ανθρώπους.,Greek,0.509603263
Τα βουνά προσφέρουν εκπληκτικές θέατρα.,Greek,0.601201188
Η μάθηση είναι ένας διαρκής ταξίδι.,Greek,0.51807131
Η πρακτική κάνει τέλειους.,Greek,0.739614037
Η φροντίδα του εαυτού είναι κρίσιμη για την ευημερία.,Greek,0.697562279
Las procesiones de Semana Santa son tradicionales.,Other,0.185960734
Dreams can be a source of inspiration.,English,0.974461093
Pame gia fagito sto estiatorio apopse.,Greeklish,0.803752504
Tha pame sto vivliothiki na paroume vivlia.,Greeklish,0.160892349
Poso xrono pernas sto spiti sou?,Greeklish,0.609949704
Den xero ti na kanoume apopse.,Greeklish,0.097992829
Thelo na pame gia diakopes stin Ellada.,Greeklish,0.866730801
Las danzas folclóricas son parte de la cultura española.,Other,0.235273375
Pos mporo na se voithiso?,Greeklish,0.016028833
Η ρουτίνα βοηθά στην εδραίωση της σταθερότητας.,Greek,0.855008139
Η διαλογική ηρεμεί το μυαλό.,Greek,0.345249096
Eimai stin agora gia ala.,Greeklish,0.324482567
Birds migrate during certain seasons.,English,0.541118173
Mathematics is a universal language.,English,0.653729487
Tha pame sto paralio gia psarema.,Greeklish,0.524851756
Ο χρόνος πετάει όταν διασκεδάζεις.,Greek,0.230831344
Art comes in various forms.,English,0.729570363
La siesta es una tradición española.,Other,0.313542881
The mind is a powerful tool.,English,0.968558025
Το διαδίκτυο προσφέρει ατελείωτη πληροφορία.,Greek,0.031461595
Thelo na pao gia diakopes stin paralia.,Greeklish,0.347024423
"Я люблю вивчати нові мови, це завжди цікаво та захоплююче.",Other,0.818232734
Thelo na matho na taxideuo stin Evropi.,Greeklish,0.308763775
Challenges make us stronger.,English,0.702946191
La costa gallega es conocida por su belleza.,Other,0.058916384
El idioma español es hermoso y musical.,Other,0.400480899
"καλημερα μαγκες, δωστε μου τα username sas",Greeklish,0.245702371
El vino rioja es famoso en todo el mundo.,Other,0.89861638
Ti thes na kanoume simera?,Greeklish,0.939025441
Tha pame gia vradini kouzina stin taverna.,Greeklish,0.172601259
Η φύση είναι όμορφη και ποικίλη.,Greek,0.173805772
Thelo na pame stin thalassa gia nero.,Greeklish,0.045754848
Τα βιβλία ανοίγουν πόρτες σε νέους κόσμους.,Greek,0.733527142
La Plaza de España en Sevilla es impresionante.,Other,0.641418759
El diseño arquitectónico de Barcelona es vanguardista.,Other,0.407083857
Η μουσική έχει ισχυρή επίδραση στα συναισθήματα.,Greek,0.820575983
Las plazas españolas son lugares animados.,Other,0.83599901
我喜歡學習新語言，這是一個有趣的挑戰。,Other,0.655955012
Η ευγνωμοσύνη οδηγεί στην ικανοποίηση.,Greek,0.633574767
Books open doors to new worlds.,English,0.92628334
Οι καινοτομίες καθοδηγούν την πρόοδο.,Greek,0.158152685
Poso kostizei ena grammeno vivlio?,Greeklish,0.478088534
Η καλοσύνη μπορεί να αλλάξει τη μέρα κάποιου.,Greek,0.045626839
Η αποτυχία είναι ένα βήμα προς την επιτυχία.,Greek,0.626851058
Η άσκηση είναι σημαντική για την υγεία.,Greek,0.190868737
Pame gia geitonia stin periochi.,Greeklish,0.180386414
El clima en España es variado y agradable.,Other,0.68351871
Το ποδόσφαιρο είναι ένα δημοφιλές άθλημα παγκοσμίως.,Greek,0.519415091
Las playas de la Costa Brava son hermosas.,Other,0.121972827
El teatro español tiene una larga tradición.,Other,0.379732956
Teamwork leads to success.,English,0.036036137
"Eimai poli kala, euxaristo.",Greeklish,0.508049323
Las procesiones de la Semana Santa son emocionantes.,Other,0.820819493
Artistic expression varies widely.,English,0.826342725
"मैं इस भाषा को ठीक से नहीं बोलता, लेकिन मैं सीख रहा हूँ।",Other,0.884460951
Las costas españolas son muy turísticas.,Other,0.655154978
Η τέχνη έρχεται σε διάφορες μορφές.,Greek,0.440234991
Change is a part of life.,English,0.96296707
Yoga improves flexibility and relaxation.,English,0.033909864
Animals bring joy to our lives.,English,0.601618682
The internet offers endless information.,English,0.271810528
Poso xrono pernas sto internet tin imera?,Greeklish,0.078197081
Tha pame gia proino sto diko mas kedro.,Greeklish,0.124657822
Tha pame gia kafe stin plateia.,Greeklish,0.580383002
El aceite de oliva es un ingrediente clave en la cocina española.,Other,0.763789008
La historia de España es fascinante.,Other,0.675633225
Αυτός τρέχει κάθε πρωί.,Greek,0.88642232
Ο ωκεανός είναι τεράστιος και μυστηριώδης.,Greek,0.206713519
Failure is a stepping stone to success.,English,0.962640538
Η ενέργεια μας επηρεάζει το περιβάλλον μας.,Greek,0.963073403
Tha pame sto mousio gia ena ergo tehnis.,Greeklish,0.686829408
Thelo na agoraso ena kainourio autokinito.,Greeklish,0.538907582
Pos na pao sto stathmo tou metro?,Greeklish,0.293674081
Paei na treksei kathe mera gia ipodromies.,Greeklish,0.140542083
Η ανανέωση και η αλλαγή είναι αναπόσπαστο μέρος της ζωής.,Greek,0.581279717
Kanoume parea gia fagito simera bradu?,Greeklish,0.705807652
Η καλλιτεχνική έκφραση ποικίλλει ευρέως.,Greek,0.054465617
Mindfulness helps reduce stress.,English,0.139248903
Ο φεγγάρι λάμπει φωτεινά τη νύχτα.,Greek,0.683680674
La paella es un plato típico valenciano.,Other,0.463238321
Ego agapo na taxideuo.,Greeklish,0.019566264
Communication is key in relationships.,English,0.41519572
Tha pame gia vradini prooptiki?,Greeklish,0.109667504
Η γραφή επιτρέπει στη δημιουργικότητα να ρέει.,Greek,0.138141814
Η επιστημονική φαντασία εξερευνά μελλοντικές πιθανότητες.,Greek,0.308721756
Η περιπέτεια περιμένει πέρα από τον ορίζοντα.,Greek,0.797297141
Travel broadens the mind.,English,0.497021811
Thelo na matho na paizo mpasket.,Greeklish,0.50275593
El arte español es conocido mundialmente.,Other,0.586283859
Winter brings snow and cold weather.,English,0.520126604
Τα πουλιά μεταναστεύουν κατά τη διάρκεια ορισμένων εποχών.,Greek,0.014025365
Το ταξίδι διευρύνει το μυαλό.,Greek,0.578445101
Tha pame gia vradini prooptiki?,Greeklish,0.171339147
Η ενότητα ενισχύει τη δύναμη της κοινότητας.,Greek,0.485267282
Το διαδίκτυο συνδέει τους ανθρώπους παγκοσμίως.,Greek,0.131805767
Tha pame gia kafe apopse?,Greeklish,0.389753355
Las fiestas de San Fermín son conocidas internacionalmente.,Other,0.901402293
Los museos españoles albergan obras maestras.,Other,0.379391282
Ego exo mathima mousikis kathe Tetarti.,Greeklish,0.782148571
Honesty is the best policy.,English,0.858825877
Den ksero ti na foreso gia to gamo.,Greeklish,0.799619205
Quality time strengthens bonds.,English,0.630947266
El Parque del Retiro en Madrid es un remanso de paz.,Other,0.617417028
Η ιστορία μας διδάσκει πολύτιμα μαθήματα.,Greek,0.09586467
Pame gia proino?,Greeklish,0.957404991
El fútbol es el deporte más popular en España.,Other,0.795053343
Coffee is a popular morning beverage.,English,0.619938148
Τα δέντρα μας παρέχουν οξυγόνο.,Greek,0.296546157
La cultura flamenca es apasionada y emocional.,Other,0.797941004
Η φαντασία διακινδυνεύει τη δημιουργικότητα.,Greek,0.05517809
Tha pao sto parko gia ipodromies.,Greeklish,0.157750444
Health is wealth.,English,0.325177994
Viajar amplía la mente.,Other,0.736232139
La mezcla de culturas en España es fascinante.,Other,0.547717112
Η υπομονή είναι αρετή.,Greek,0.90746886
Η διατήρηση της φύσης είναι κρίσιμη.,Greek,0.857789402
Η Γη περιστρέφεται γύρω από τον ήλιο.,Greek,0.387574092
Los castillos medievales en España son impresionantes.,Other,0.877634492
La cultura española es diversa y rica.,Other,0.145120304
Las islas Baleares son destinos turísticos populares.,Other,0.351633595
Fashion reflects personal style.,English,0.64685312
La gastronomía española es reconocida a nivel mundial.,Other,0.25098066
Thelo na pao stin plateia gia kafe.,Greeklish,0.890215381
Tha pame sto vivliopoleio gia vivlia.,Greeklish,0.626755069
Η επιτυχία απαιτεί σκληρή δουλειά.,Greek,0.396757277
Generosity warms the heart.,English,0.23219272
Pame gia fagito sto estiatorio apopse.,Greeklish,0.276677954
Thelo na matho na psifizo.,Greeklish,0.302898075
Stars twinkle in the night sky.,English,0.20508431
Η γιόγκα βελτιώνει την ευελιξία και τη χαλάρωση.,Greek,0.790826763
Η μόδα αντικατοπτρίζει το προσωπικό στιλ.,Greek,0.005592316
Η συνείδηση του περιβάλλοντος είναι απαραίτητη για τη βιώσιμη ζωή.,Greek,0.873633159
El Palacio Real de Madrid es majestuoso.,Other,0.710072952
El flamenco es un baile tradicional.,Other,0.261191479
Η μάθηση από τα λάθη είναι ουσιαστική.,Greek,0.048250936
Exercise is important for health.,English,0.386078909
Kseris ti ora ine twra?,Greeklish,0.199085895
La literatura española tiene grandes autores.,Other,0.394237459
La gastronomía vasca es reconocida por su calidad.,Other,0.144034732
Thelo na matho na milao Ispanika.,Greeklish,0.448973661
Η φιλία είναι πολύτιμη.,Greek,0.241442774
Tha pao sto parko gia ipodromies.,Greeklish,0.238268197
Η εκπαίδευση δυναμώνει τα άτομα.,Greek,0.530615938
Routine helps establish stability.,English,0.688016507
Οι τόξοτα εμφανίζονται μετά τη βροχή.,Greek,0.032601741
La Alhambra de Granada es una maravilla arquitectónica.,Other,0.302890593
Ti thes na kanoume simera?,Greeklish,0.4462
Η βροχή φέρνει ζωή στα φυτά.,Greek,0.003136361
Las playas españolas son hermosas y relajantes.,Other,0.672904403
La Sagrada Familia es una obra maestra en Barcelona.,Other,0.875283446
Η πίστη και η αισιοδοξία καθοδηγούν το μέλλον.,Greek,0.049924668
"Não falo esta língua fluentemente, mas estou a tentar aprender.",Other,0.173610758
Poso kostizei ena bileto gia to kino?,Greeklish,0.95223315
Ο καφές είναι ηρεμιστικό ποτό.,Greek,0.762681261
Rain brings life to plants.,English,0.73808202
Ti ora tha ertheis spiti?,Greeklish,0.465354268
Ο ουρανός είναι γαλανός σήμερα.,Greek,0.621601648
Tha pame sto mousio gia ena ergo tehnis.,Greeklish,0.965861861
Αυτή απολαμβάνει να παίζει κιθάρα.,Greek,0.298774342
El clima mediterráneo en España es agradable.,Other,0.122033403
Tha pame gia proino kafe sto kedro.,Greeklish,0.045642969
Los patrimonios de la UNESCO en España son numerosos.,Other,0.93084976
Las festividades en España son alegres y coloridas.,Other,0.294107066
Meditation calms the mind.,English,0.823036622
Η επιστήμη έχει προωθήσει την ανθρώπινη γνώση.,Greek,0.757394829
La diversidad geográfica de España es impresionante.,Other,0.23585384
Τα πουλιά τσιρίζουν το πρωί.,Greek,0.995199814
El flamenco es una expresión cultural única.,Other,0.835536088
"Ich spreche nicht fließend diese Sprache, aber ich lerne gerne.",Other,0.671004813
"Je ne parle pas couramment cette langue, mais j'essaie d'apprendre.",Other,0.847080677
La arquitectura islámica en España es magnífica.,Other,0.621083814
Den mporo na katalavo ti les.,Greeklish,0.970165922
Las catedrales españolas son impresionantes.,Other,0.641369849
Den ksero ti na foreso simera.,Greeklish,0.650836353
Technology evolves rapidly.,English,0.764183692
Η αναγνώριση των λαθών μας μας κάνει πιο ισχυρούς.,Greek,0.630464346
Nature conservation is crucial.,English,0.836489879
Sharing brings people together.,English,0.802863125
Gratitude leads to contentment.,English,0.547250318
Η οικογένεια παρέχει στήριξη και αγάπη.,Greek,0.130168885
Το χειμώνας φέρνει χιόνι και κρύο καιρό.,Greek,0.09681918
Η ομαδική εργασία οδηγεί στην επιτυχία.,Greek,0.981904346
Η ευτυχία προέρχεται από μέσα μας.,Greek,0.724696433
Thelo na matho na psifizo.,Greeklish,0.905154961
Los patios andaluces son encantadores.,Other,0.197508524
Las corridas de toros son una tradición controversial.,Other,0.460364691
Ο ήλιος λάμπει φωτεινά στον ουρανό.,Greek,0.794033283
La comida mexicana es picante y sabrosa.,Other,0.430997546
Tha pame sto kentro gia kafe.,Greeklish,0.344224996
Las estaciones de esquí en España son excelentes.,Other,0.706044862
Thelo na matho na taxideuo stin Evropi.,Greeklish,0.011633519
The future is full of possibilities.,English,0.678430367
Den exo idea ti na valo gia na fago.,Greeklish,0.833093503
Los festivales de música en España son populares.,Other,0.312333116
Thelo na matho na zographizo.,Greeklish,0.106662726
Pame gia proino?,Greeklish,0.749548441
Diversity enriches communities.,English,0.649962205
Τα λουλούδια ανθίζουν την άνοιξη.,Greek,0.30666768
History teaches us valuable lessons.,English,0.149928952
El Parque Güell es una maravilla arquitectónica.,Other,0.375612812
La pintura española tiene grandes exponentes.,Other,0.434834562
Η ανάγνωση βοηθάει στη διεύρυνση της γνώσης.,Greek,0.113335951
The universe is vast and mysterious.,English,0.47076259
Learning is a lifelong journey.,English,0.90215446
La vida nocturna en España es animada y diversa.,Other,0.318407324
Science fiction explores future possibilities.,English,0.575955474
Thelo na matho na paizo mpasket.,Greeklish,0.811393598
私はこの言語を流暢に話せませんが、学ぶことが好きです。,Other,0.161728562
Tha pame gia proino stin plateia.,Greeklish,0.979584344
Ti iparxei na deixo sto kino?,Greeklish,0.859036002
Movies entertain and tell stories.,English,0.619980093
Η πολυμορφία εμπλουτίζει τις κοινότητες.,Greek,0.08748236
Sunsets paint the sky in vibrant colors.,English,0.525741101
La ciudad de Sevilla es conocida por su feria.,Other,0.593026713
Tha pame gia proino stin paralia.,Greeklish,0.819513034
Αγαπώ να φάω πίτσα.,Greek,0.700379358
Science has advanced human knowledge.,English,0.640229712
Education empowers individuals.,English,0.482808867
Η αλλαγή είναι μέρος της ζωής.,Greek,0.383412574
Η μάθηση νέων γλωσσών είναι διασκεδαστική.,Greek,0.590523429
Thelo na matho na zw grafika.,Greeklish,0.288570791
Las fallas de Valencia son festivales únicos.,Other,0.504056238
