text,f3352321,f3352310,f3352311,f3352316,f3352318,f3352314,f3352315,f3352301,f3352308,f3352307,LLMAnnot1,LLMAnnot2,LLMAnnot3,LLMAnnot4,LLMAnnot5
Παντρεύει Δεσπότη!,1,5,6,6,6,5,4,7,1,19,1,3,2,1,7
Ασκημέ μου στρώσε το έλα κι ομορφέ μου τι θα φάμε,3,3,10,12,6,7,7,5,8,20,0,1,2,4,5
Κάνει τα μπορεί και τα δύνεται,1,1,17,15,6,8,7,1,4,17,0,1,4,3,6
"Που δεν εντρέπεται, πορεύγεται",2,1,7,17,4,2,10,1,3,28,1,1,1,4,3
"Ούτε διάκο σε είδαμε, ούτε Πρωτοσύγγελο! Και συ δεσπότης έγεινες!",3,5,16,6,6,6,3,6,3,21,0,2,4,1,1
Τουν έκανα απ 'άσπρου,1,5,17,15,5,3,7,1,5,15,2,2,2,1,1
Λάου λάου πάει,1,5,9,15,5,8,7,3,1,22,2,1,2,2,5
Τα δανεικά φορέματα μήτε ζεσταίνουν μήτε ζεσταίνονται,2,2,8,17,6,2,10,1,2,13,2,5,1,1,2
Βουβός περνά,3,1,10,15,6,8,2,1,1,6,2,2,3,2,5
"Όπου τσυν' γα δυό λαγούς, χάνει τσαί τον ένα νάνει τσαί τον άλλε",2,2,1,16,6,4,10,4,2,16,1,5,3,3,2
Ποντές ξεζεύγουν οι γεωργοί οι κερατάδες,3,5,5,50,6,8,7,1,4,24,0,1,4,3,3
Τώρα που γιν η θάλασσα μέλι έσπασε το κουτάλι,1,1,4,7,6,8,2,3,8,13,0,5,3,2,1
Τα θέλ' όλα δικά του,1,1,7,16,2,8,10,3,1,26,0,1,1,1,4
Όποιος συχνα σκουντάβγει συχνα και μεταννοιώνει,2,1,7,9,"3, 4",2,10,3,4,2,2,1,4,4,2
Πέσε πίτα να σί φάου,1,3,9,16,6,4,2,5,6,18,0,5,3,3,5
Της κακομούσουρης το προικιόν η ώμορφη τόχει ριζικό,6,1,10,12,6,7,2,8,3,11,1,3,1,4,6
Παρασκεβγοπλυμένη μου και σαββατοστεγνώστρα,3,4,14,50,6,8,2,3,4,27,2,1,2,-1,5
Χα θα θέλη η νύφφη κ' η γαμπρός τύφλα να 'χη η πιθθιρός,1,1,6,10,6,5,9,7,8,19,2,2,4,3,5
Γεια σου γέρω! Κουτσιά σπέρνω,1,5,9,2,6,4,2,1,6,6,1,1,2,2,5
Καθένας έχει το δαιμόνιόν του,6,1,15,6,4,2,7,3,4,30,1,-1,1,1,6
Των φρενίμων τα παλιά οι λωλοί τα κατελούν,1,1,16,9,6,2,3,1,2,8,2,3,3,2,4
Απ' όξω μπέλλα – μπέλλα κι από μέσα κατσιβέλλα,3,5,10,12,6,7,10,3,1,30,2,5,4,3,6
Καλύτερα προίκα σε κτήματα παρά σε φορέματα,2,2,2,10,1,1,2,1,2,2,0,1,4,2,1
Άρπαξέ με τζαί να σ' αρπάξω,1,3,9,50,6,4,10,1,3,6,1,2,2,2,2
"Μια φορά πηγαίνει το κολοκύθι για νερό δυό, την τρίτη τσακίζεται",6,1,8,16,6,2,10,1,2,40,1,1,1,1,3
Κατά τον άνθρωπο και τα ραβδιά,1,1,8,17,6,4,7,3,6,50,2,3,3,4,6
Μόνον εις τους πλουσίους και τους τιμίους δανείζουν!,1,1,2,9,1,1,6,1,4,31,1,5,4,2,6
"Άη μου Νικόλα, και σώσε με. Λέει, Και σάλεβγε κι΄εσύ τα χέρια σου",4,3,12,6,6,6,5,6,7,17,2,2,1,3,-1
"-Θώριε στραβέ. Λέει -Θώριε, Θεέ",4,3,3,6,6,6,5,6,7,10,2,5,1,3,1
"Ο πετεινόν που κουγίζει παρώρας, κόφτει το κεφάλιν ατ",1,1,1,2,6,2,10,4,2,32,2,1,3,1,1
"Ποιός ζει, ποιός πεθαίνει",1,5,11,15,4,3,2,9,4,5,2,3,2,1,3
Κάνω ένανε κοιλό και λαγήνι,1,1,17,50,6,4,10,1,6,50,0,5,1,4,1
Μοναχός σου χόρευε κι όσο θέλεις πήδάγε,2,5,9,2,6,2,7,1,2,33,1,3,1,1,6
Άνθρωπος ακάλεστος στογ γάμοσ σαν τογ γάδαρον,5,5,6,10,6,5,4,3,1,19,2,1,3,3,1
"Ρίξ', ρίξ' γαμπρέ μ' πλατπούτσ'",2,3,6,10,6,5,4,7,8,34,1,2,4,1,1
Όποιος 'ς το κόσμο δε γλεντά και το κρασί δεν πίνει άθρωπος δε λογίζεται όσο χρονώ κι α γίνη,2,1,8,5,4,2,2,5,4,39,2,4,3,2,5
"Όποιος πειναει για να πλουτήση, μόν' η πείνα θα του μείνη",2,2,2,5,1,1,10,3,4,26,1,1,2,1,4
"Άντρα μου, η ξύξες σου τρέχουσι(ν), - Είνε γεναίκα, που το χειμώνα. - Σε ξέρω δα, άντρας μου και που το καλοκαίρι",1,5,4,10,6,4,2,7,8,35,2,5,4,3,6
Να καναν οι μύγες μέλι τρεις οκάδες στον παρά,1,3,1,11,6,1,6,4,1,16,1,2,1,1,5
Σαν θέλ' η νύφ' κι η γαμπρός μπομπή κ' τα συμπεθέρια,1,1,6,10,6,5,4,7,8,19,2,1,4,2,3
Όποιος έχει σειέται κι όπου δεν έχει ξυέται,1,5,9,5,6,2,2,3,4,5,0,5,1,1,1
Και όποιος θε να σε κρεμάση ποιός το λε' μη θαν ο ετός σου κι όποιος θε να σε γλυτώση ποιός το λε' μη θαν ο χθρός σου,2,2,16,17,6,2,10,9,1,11,1,3,3,1,6
Θέλωντας ο νοικοκύρης και μη θέλωντας ο ζωγράφος βάστα και συ Χριστέ κόκκινα ποδήματα,4,4,3,6,6,6,2,6,7,50,2,1,4,2,2
Αν μου πιάσης την μύτη σκάω,1,1,12,50,6,8,6,3,1,50,1,5,3,3,5
Ο κινάς κ' η Τρεμιντίνα κάνουν τη γριά καντίνα,1,5,17,50,6,9,4,1,2,50,0,3,1,3,3
Όταν αγιαστούν τα νερά ησυχάζ' ο καιρός,4,4,4,6,6,6,7,6,7,40,0,3,3,2,5
Ευκή ονιού αόραζε και μη βουδί αλοάρι,2,2,1,14,6,4,5,1,6,19,2,3,2,2,4
Πλέει τ' όνομα εις τον νου μου,1,1,15,15,5,4,10,3,8,47,1,1,1,1,1
Η καμήλα εγ κουτσανίσκει που ταφτίν,1,1,1,11,6,3,2,4,6,19,2,1,4,4,2
Αρχίντσεν τα παρδαλά,1,5,13,9,5,8,10,1,1,36,2,2,4,4,6
Απόξω κούκλα κι' από μέσα πανούκλα,3,5,10,12,2,7,7,3,1,15,2,1,3,1,5
Είχα το παιδί κι είχα τη χαρά κι έψηνα του πέντ' αυγά κι έτρωγα τα τέσσερα και το μισό κι απου το μισό τ' άλλο μισό πόσο 'τρωε το παιδίν;,1,-1,8,15,6,4,7,5,8,13,1,3,1,4,6
Εσηκώθηκ' η Νοθιά με τα παιδογγονά τζη,1,-1,6,14,6,4,7,7,6,50,0,5,1,3,5
"Βούρλα μού δώνεις, ψαθί σού πλέκω",1,1,8,9,6,8,1,3,8,37,2,1,3,2,8
"Ξερό ψωμί, καλή καρδιά, φέρνουν ζωή και νιάτα, όχι περόνια ολόχ' σα τσαί ασημένια πιάτα",2,1,8,5,1,9,3,5,2,7,0,1,1,1,3
"Τέτοιου τσιφάλ', τέτοια θέλ'",1,5,17,2,6,8,10,3,2,50,1,1,2,3,1
Τουν γιλάει ου καθρέφτ'ς,1,5,8,2,6,7,4,1,1,48,0,3,-1,3,3
"Όπου ακούσης μέγα τρύγος, παίρνε μικρό καλάθι",2,2,8,17,3,2,10,3,2,38,2,1,3,2,4
"Σκυλλί γαυγίζει, καρ'βαν πιρνα",2,2,1,11,6,2,1,4,2,16,0,-1,2,1,3
Τη δουλειά σου και το όργο σου ψηλά,2,2,5,8,6,1,7,2,2,12,0,2,1,1,-1
"Όποιο δάχτυλο να κόψω, πονεί",1,1,12,14,6,3,2,3,2,41,0,1,3,2,6
"Τα γέλοια με τα κλάμματα, με τη χαρά κ' η πίκρα",1,1,7,5,6,2,10,3,4,45,1,5,4,3,1
Γερεύει να κρουφτεί πιστ' απ' το δάχτ'λά του,1,5,12,17,6,8,2,3,1,46,0,1,1,1,2
Τα λό(γ)ια των πολλώ κάνουν τον άθθρωπο λωλλόν,3,2,16,9,6,9,10,3,4,17,2,1,1,1,4
Πε ξένα κόλλ'βα φκιάν' μνημόσυνο,4,5,6,17,5,8,8,9,4,44,1,5,2,4,5
Αναθεμα ποιός δούλευε τρία καλά Σαββάτα της τυρινής Κρεατινής και των Αγίων Θοδώρων,4,4,3,6,6,6,7,2,7,17,0,1,1,4,4
Αχάριστον (τ) χάρη μη κάνεις,2,2,16,17,2,2,3,3,2,43,0,2,1,2,5
Στίβει την πέτρα και βγάνει ζουμί,1,1,8,8,2,8,10,3,1,37,1,1,4,1,3
Είναι Ζαρκοπαφίλλης,3,5,16,50,6,8,9,3,6,50,0,1,3,2,5
Γονιού ευχή αγόραζε και στο βουνό κατοίκα,2,2,6,14,6,2,3,7,1,42,0,3,-1,1,-1
"Σαράντα καλόγεροι, ο καθένας με τον πόνο τ'",4,1,7,2,5,6,10,6,1,17,2,2,1,3,1
Θέλει κι ο Μούτσιος καφέ!,1,5,8,50,6,8,1,5,1,4,2,3,4,1,6
Ξέρεις και συ που πάει του χωριού η αγγέλη,1,5,17,2,6,4,7,4,4,3,0,3,1,4,2
Επήα να κόψω τ' αυτιά και 'βαλα και κέρατα,1,5,12,18,6,3,10,1,5,38,1,1,-1,4,-1
Απού βράσει τζαί στεγνώσει εν έν τίποτε,1,1,17,18,6,4,7,1,4,42,4,1,-1,4,3
